"OGid","Phco_ech1","Phco_ech2","Phco_ech3","Phlu_ech1","Phlu_ech2","Phlu_ech3","Hbet_ech1","Hbet_ech2","Hbet_ech3","Hkan_ech1","Hkan_ech2","Hkan_ech3","Gpru_ech1","Gpru_ech2","Gpru_ech3","Grac_ech1","Grac_ech2","Grac_ech3","Pgab_ech1","Pgab_ech2","Pgab_ech3","Psem_ech1","Psem_ech2","Psem_ech3","Pcos_ech1","Pcos_ech2","Pgra_ech1","Pgra_ech2","Prev_ech1","Prev_ech2","Mper_ech1","Mper_ech2","Mper_ech3","Ncfi_ech1","Ncfi_ech2","Nmon_ech1","Nmon_ech2","ScorA_ech2","ScorA_ech3","ScorB_ech1","ScorB_ech2","ScorB_ech3","ScorC_ech1","ScorC_ech2","ScorC_ech3","ScorD_ech1","ScorD_ech2","ScorD_ech3"
"10",11607,4168,2046,7176,8658,7465,2373,3873,1017,5723,3146,2578,22763,13873,8547,2942,7086,8635,8807,20069,4207,12418,22104,9396,794,4133,792,4121,4081,3590,3539,4741,3639,7612,6645,5785,8342,1098,1861,842,926,727,1143,1346,1245,689,1309,1551
"11",886,231,49,502,855,951,21,195,91,958,525,311,75,287,199,75,240,120,NA,NA,NA,NA,NA,NA,293,3868,293,3860,4146,4242,0,4,2,NA,NA,1067,1161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",5022,2085,1473,18270,15365,19516,5831,1765,2080,1514,1499,1011,4573,2967,2162,1073,2588,1838,1769,1088,564,1338,1551,1218,825,4681,825,4705,4110,2698,1141,1740,1061,10815,6600,NA,NA,4200,4270,3291,3365,1940,6626,5838,4965,2082,3627,2478
"13",560,281,224,8005,7873,6196,1936,1700,869,1413,1614,1604,2867,2576,2188,1883,2670,2985,4946,2338,1347,17081,12508,9676,337,4848,359,4433,3026,3281,1972,11677,6460,37117,40421,28635,31113,10349,4346,3071,5851,2899,1475,2558,5149,3043,9008,11093
"14",467,156,62,516,729,607,911,488,620,1007,1001,926,462,819,876,507,744,654,1396,1757,762,1001,1086,970,797,1365,799,1370,1808,2135,681,637,618,599,735,848,905,318,357,357,301,243,149,308,246,460,443,471
"15",2889,871,457,5091,5045,3239,2050,1264,2786,3368,4168,3840,3057,3962,4019,2103,4956,3317,2359,5767,2332,2870,2522,3114,3509,3054,3511,3056,2599,2952,1757,1305,1280,1935,2126,2065,2536,2596,2586,3240,2583,2110,1043,1969,2036,5074,4434,4498
"16",204,175,25,112,87,60,729,789,818,814,1160,664,1094,1499,890,168,756,410,520,1330,342,1357,582,703,582,399,1298,818,546,530,526,764,571,646,904,1356,1532,699,545,406,353,257,411,429,426,265,231,286
"17",23631,4724,2212,20791,25039,16994,11107,15046,5232,4547,4031,2662,15149,10033,6782,4826,12497,8060,15668,27881,9533,14610,22362,16274,745,22731,812,25749,30998,29476,4242,5169,3494,28235,24221,8595,12272,11077,9744,3632,7855,4040,2814,9621,9010,4412,9499,9876
"18",2483,777,324,3227,4225,3469,2859,1856,949,3287,3003,1847,2268,1544,961,490,1054,630,1433,1627,821,2225,2034,1345,134,1308,117,1129,33059,35586,1624,3071,2250,5654,4847,NA,NA,1073,1196,595,885,583,261,688,742,746,955,714
"19",1356,498,282,1243,1369,1284,338,381,1290,1120,969,1228,892,1077,1022,384,953,856,1272,1244,991,878,1151,1467,577,1495,605,1594,1788,2242,2442,1946,1841,1410,1416,1990,1919,508,277,443,377,282,154,268,321,443,471,432
"20",419,158,54,234,243,302,663,818,592,848,754,558,634,420,272,86,400,407,1721,2247,1549,1002,2257,1112,1710,2590,1728,2608,1976,2490,229,144,113,28,156,140,240,312,302,194,166,176,86,107,196,68,136,170
"21",1816,539,302,272,323,273,1325,747,983,NA,NA,NA,409,873,1053,679,1175,776,680,1546,398,845,1034,615,2484,1501,2653,1618,1591,2024,336,369,313,3541,3289,NA,NA,397,434,545,402,351,562,683,383,391,376,577
"22",205,141,46,272,315,255,194,241,529,430,545,444,416,353,278,77,207,119,120,229,103,603,638,788,565,1324,454,985,1341,2033,418,341,196,182,497,1054,1030,810,677,606,399,376,294,415,488,694,969,1006
"23",9398,2855,1619,6283,9972,7906,7664,9073,7757,1948,2328,2568,6295,4162,9631,9616,19804,15098,3574,4740,2584,2533,3090,3213,573,9387,542,9787,12486,13587,1748,6112,2896,10216,8652,7067,9264,2682,2917,2265,1833,1945,1256,3221,4203,4101,5076,5800
"24",285,118,76,260,310,358,768,1064,1113,3293,2639,1832,2898,2013,1299,516,752,746,226,163,198,NA,NA,NA,1075,811,926,719,737,699,2449,1408,1048,199,617,2187,2182,1292,1098,1335,2096,981,256,628,975,985,1708,1699
"25",1027,406,240,1847,2349,2116,3630,6654,1990,3836,3595,2452,1732,1128,781,401,1031,949,53908,63672,25383,752,495,754,38734,108195,979,1549,1102,1257,504,371,423,218682,191816,1288,1402,622,556,762,633,485,267,598,588,572,534,438
