Contig ID,Size,Gpru_ech1,Gpru_ech2,Gpru_ech3,Gpru_ENV_F1_RPKM,Gpru_ENV_F2_RPKM,Gpru_ENV_F3_RPKM
Gpru_v1_contig_1,6581,3681,6730,4315,11.80409767,18.90158178,12.33684521
Gpru_v1_contig_10,214,8658,2903,2417,853.8128284,250.7311189,212.5093698
Gpru_v1_contig_100,1490,2815,3555,5079,39.87043724,44.09895649,64.13677978
Gpru_v1_contig_1000,1141,2689,3252,2997,49.73521794,52.67928463,49.42154351
Gpru_v1_contig_10000,241,0,52,31,0,3.988056269,2.420247932
Gpru_v1_contig_10001,2543,1756,4920,57919,14.57259915,35.75968783,428.5385553
Gpru_v1_contig_10002,820,3663,3952,4986,94.27182917,89.0795593,114.4072715
Gpru_v1_contig_10003,1606,3785,2856,1930,49.73695696,32.86908681,22.6113751
Gpru_v1_contig_10004,856,947,1055,980,23.34721496,22.77999745,21.54108217
Gpru_v1_contig_10005,435,2973,2226,1127,144.2329612,94.58251965,48.74722136
Gpru_v1_contig_10006,1496,872,1392,2600,12.30109462,17.19818507,32.70069333
Gpru_v1_contig_10007,1442,594,501,649,8.693207623,6.421661981,8.468268954
Gpru_v1_contig_10008,818,279,259,105,7.197965607,5.852230681,2.415189444
Gpru_v1_contig_10009,776,126,158,13,3.426633777,3.763313011,0.315207714
Gpru_v1_contig_1001,3757,3277,4298,3771,18.40747053,21.14463498,18.88558942
Gpru_v1_contig_10010,775,87,108,10,2.369061951,2.575710386,0.242780334
Gpru_v1_contig_10011,380,16,48,27,0.88857738,2.334708245,1.336889074
Gpru_v1_contig_10012,381,6,28,247,0.332341934,1.358338568,12.19795941
Gpru_v1_contig_10013,271,19,58,117,1.479596099,3.955794105,8.123286625
Gpru_v1_contig_10014,486,42,77,239,1.823777648,2.928393486,9.252878045
Gpru_v1_contig_10015,502,4,46,142,0.168157074,1.693671154,5.32230592
Gpru_v1_contig_10016,344,11,14,5,0.674828025,0.752219468,0.273480754
Gpru_v1_contig_10017,2229,453,543,371,4.288910673,4.502614207,3.131692034
Gpru_v1_contig_10018,864,125,144,49,3.053199187,3.080517823,1.067081385
Gpru_v1_contig_10019,1464,1008,1097,1382,14.53042519,13.84970513,17.76160358
Gpru_v1_contig_1002,1310,4032,4155,5007,64.9543282,58.62390025,71.91533406
Gpru_v1_contig_10020,1254,268,241,259,4.51020337,3.552176055,3.886130978
Gpru_v1_contig_10021,2825,972,1454,1131,7.261171265,9.513075218,7.532850688
Gpru_v1_contig_10022,954,448,376,514,9.910338917,7.284746551,10.13747861
Gpru_v1_contig_10023,725,1817,1094,662,52.89027052,27.89037102,17.18047589
Gpru_v1_contig_10024,2348,1322,2178,2129,11.88207338,17.14489221,17.06054008
Gpru_v1_contig_10025,1694,148,500,3215,1.843771837,5.455462497,35.70941847
Gpru_v1_contig_10026,1879,4233,5045,4346,47.54231837,49.62601091,43.51892393
Gpru_v1_contig_10027,2056,437,613,1337,4.485565411,5.510770697,12.2355502
Gpru_v1_contig_10028,1445,265,351,1028,3.870231064,4.489668191,13.38568109
Gpru_v1_contig_10029,2603,563,1331,33,4.564498769,9.451023948,0.238536574
Gpru_v1_contig_1003,1395,23847,52504,19225,360.7600278,695.6537969,259.3028841
Gpru_v1_contig_10030,918,256,124,266,5.885131233,2.496628824,5.451978843
Gpru_v1_contig_10031,1097,971,1018,549,18.67976765,17.15205366,9.416313806
Gpru_v1_contig_10032,305,143,289,634,9.894527632,17.51350133,39.11151375
Gpru_v1_contig_10033,308,395,454,185,27.06482646,27.24457971,11.30150336
Gpru_v1_contig_10034,1094,1,116,1,0.019290414,1.959817555,0.01719879
Gpru_v1_contig_10035,529,260,196,269,10.37233521,6.848183289,9.567793961
Gpru_v1_contig_10036,1811,1931,2715,2545,22.50208138,27.70935138,26.44140588
Gpru_v1_contig_10037,295,14,8,9,1.001532132,0.501236798,0.574031467
Gpru_v1_contig_10038,956,139,111,197,3.068426859,2.14605112,3.87724764
Gpru_v1_contig_10039,469,116,115,48,5.219681626,4.532105113,1.9256777
Gpru_v1_contig_1004,1731,1867,3161,1755,22.76177456,33.75222475,19.07634901
Gpru_v1_contig_10040,1012,526,857,635,10.96892581,15.65219629,11.80615333
Gpru_v1_contig_10041,347,31,85,3,1.885346099,4.527562219,0.16266982
Gpru_v1_contig_10042,1203,556,1026,1070,9.753669416,15.76364731,16.7352944
Gpru_v1_contig_10043,1548,862,1175,1337,11.75155066,14.02949009,16.25083412
Gpru_v1_contig_10044,1691,21,470,411,0.262080407,5.137232561,4.573128668
Gpru_v1_contig_10045,2365,1717,4336,5227,15.32138471,33.8869986,41.58498617
Gpru_v1_contig_10046,1062,2031,2129,1863,40.35936032,37.05323416,33.00680934
Gpru_v1_contig_10047,2227,536,717,1647,5.079295039,5.950780276,13.91517231
Gpru_v1_contig_10048,825,1278,815,1119,32.69156962,18.25906928,25.52062725
Gpru_v1_contig_10049,227,264,128,182,24.543525,10.42219246,15.08553571
Gpru_v1_contig_1005,935,566,620,548,12.77508175,12.25617786,11.02767997
Gpru_v1_contig_10050,214,66,202,108,6.508621699,17.44667104,9.495660713
Gpru_v1_contig_10051,1368,194,115,30,2.992777982,1.553769955,0.412620085
Gpru_v1_contig_10052,305,21,40,41,1.453042519,2.424014025,2.529293476
Gpru_v1_contig_10053,964,139,126,86,3.042962735,2.415841778,1.678559049
Gpru_v1_contig_10054,1294,1684,1608,1196,27.46418263,22.96818853,17.39050164
Gpru_v1_contig_10055,2766,3078,3901,3818,23.48417496,26.0674621,25.9716149
Gpru_v1_contig_10056,1147,1902,2572,2525,34.99499713,41.44599045,41.42029341
Gpru_v1_contig_10057,1048,168,237,149,3.383037927,4.179862924,2.675101052
Gpru_v1_contig_10058,1199,267,386,156,4.699492338,5.950358031,2.448051905
Gpru_v1_contig_10059,1718,3809,4200,4594,46.78931431,45.18570963,50.31332717
Gpru_v1_contig_1006,1707,1568,2300,2272,19.38524994,24.90401052,25.04321098
Gpru_v1_contig_10060,846,1787,681,335,44.57722783,14.87824566,7.450572591
Gpru_v1_contig_10061,758,2398,2290,1372,66.76346076,55.83946556,34.05650775
Gpru_v1_contig_10062,715,596,617,694,17.5913466,15.94975802,18.26285349
Gpru_v1_contig_10063,402,6,119,31,0.314980788,5.471367477,1.450944656
