Contig ID,Size,Grac_ech1,Grac_ech2,Grac_ech3,Grac10_F RPKM,Grac9_F RPKM,Grac8_F RPKM
Grac_v1_contig_1,3526,739,1510,1554,8.834524988,6.524456723,8.80613902
Grac_v1_contig_10,2882,522,894,1037,7.634798853,4.725995,7.189548383
Grac_v1_contig_100,1625,593,1000,1207,15.38233981,9.375541276,14.84125871
Grac_v1_contig_1000,2525,1805,3410,2430,30.13262014,20.57513588,19.22922238
Grac_v1_contig_10000,2796,741,1874,1822,11.17125882,10.21132585,13.02051123
Grac_v1_contig_10001,879,288,822,656,13.81098602,14.24730291,14.91185922
Grac_v1_contig_10002,619,10,46,43,0.680973833,1.1321837,1.388016527
Grac_v1_contig_10003,4583,563,2284,2535,5.178209423,7.592695057,11.05210334
Grac_v1_contig_10004,698,457,1045,748,27.59826945,22.80922784,21.41228454
Grac_v1_contig_10005,2151,1783,3510,2884,34.94073254,24.86087566,26.78993602
Grac_v1_contig_10006,228,46,96,77,8.50440742,6.414844031,6.747963253
Grac_v1_contig_10007,958,549,789,582,24.15616061,12.54761572,12.13875948
Grac_v1_contig_10008,1675,674,1712,4270,16.96157426,15.57179453,50.93659318
Grac_v1_contig_10009,426,15,93,167,1.48423522,3.32600628,7.832920213
Grac_v1_contig_1001,1005,99,510,336,4.152314174,7.731323217,6.680208941
Grac_v1_contig_10010,999,1124,2373,1888,47.4265896,36.18944855,37.76185606
Grac_v1_contig_10011,2045,2722,4827,4180,56.10684932,35.9611608,40.84132283
Grac_v1_contig_10012,2343,952,2010,1599,17.12717491,13.0699367,13.63618881
Grac_v1_contig_10013,2976,232,899,858,3.286064859,4.602316486,5.760646049
Grac_v1_contig_10014,2223,347,549,738,6.57977564,3.762552749,6.633362479
Grac_v1_contig_10015,2725,5350,8583,7472,82.75768784,47.98685872,54.78821955
Grac_v1_contig_10016,866,49,68,15,2.385059737,1.196301745,0.346090914
Grac_v1_contig_10017,590,11,242,54,0.785889971,6.249036622,1.828767853
Grac_v1_contig_10018,2448,542,575,445,9.332735253,3.57854223,3.632163822
Grac_v1_contig_10019,419,0,533,0,0,19.38040737,0
Grac_v1_contig_1002,1730,5895,21974,17863,143.6345041,193.5141526,206.3123025
Grac_v1_contig_10020,419,676,469,933,68.00702017,17.05330405,44.49225847
Grac_v1_contig_10021,553,267,927,712,20.35200511,25.5390253,25.72596611
Grac_v1_contig_10022,541,1150,3020,1620,89.60281385,85.04707729,59.83214603
Grac_v1_contig_10023,693,787,2323,1253,47.86990557,51.06998034,36.12723026
Grac_v1_contig_10024,210,10,43,9,2.007251441,3.119599746,0.856327804
Grac_v1_contig_10025,441,4,64,88,0.382333608,2.211012002,3.98713475
Grac_v1_contig_10026,1746,828,1940,1933,19.98974115,16.92806064,22.12098419
Grac_v1_contig_10027,1267,310,912,578,10.31350188,10.96649737,9.115238875
Grac_v1_contig_10028,2910,614,1468,1085,8.893986281,7.685688562,7.449953808
Grac_v1_contig_10029,208,15,19,41,3.039827903,1.391681908,3.938558972
Grac_v1_contig_1003,2238,3802,8659,7457,71.60990596,58.94641169,66.57648951
Grac_v1_contig_10030,780,194,281,335,10.48402868,5.488598122,8.581575646
Grac_v1_contig_10031,485,195,512,525,16.94782402,16.08340277,21.62889815
Grac_v1_contig_10032,1758,179,487,296,4.291955726,4.220460169,3.364260923
Grac_v1_contig_10033,1221,1339,3331,1907,46.225965,41.56317198,31.20698843
Grac_v1_contig_10034,326,247,389,315,31.93746387,18.17949089,19.30677718
Grac_v1_contig_10035,249,1,18,6,0.169286266,1.101343704,0.481469448
Grac_v1_contig_10036,2228,1766,4229,3403,33.4115471,28.91826373,30.51852877
Grac_v1_contig_10037,1432,1132,4496,2832,33.32149529,47.83359257,39.51546181
Grac_v1_contig_10038,641,389,987,823,25.58071298,23.45896453,25.65420947
Grac_v1_contig_10039,1427,780,247,688,23.04048956,2.6370763,9.633437761
Grac_v1_contig_1004,2681,848,2793,2251,13.33276153,15.8717143,16.77627404
Grac_v1_contig_10040,548,656,1154,547,50.45966395,32.0829996,19.94452046
Grac_v1_contig_10041,600,1,529,354,0.0702538,13.43241612,11.78877944
Grac_v1_contig_10042,390,225,402,654,24.31862322,15.70403164,33.50656999
Grac_v1_contig_10043,745,141,413,340,7.977814115,8.445852536,9.118837469
Grac_v1_contig_10044,327,9,39,125,1.160154502,1.817048711,7.6379901
Grac_v1_contig_10045,386,10,28,10,1.092027986,1.105148,0.517642023
Grac_v1_contig_10046,2456,760,2564,2057,13.04386523,15.90520877,16.73488607
Grac_v1_contig_10047,655,2428,6990,2984,156.2530328,162.5869152,91.0278635
Grac_v1_contig_10048,2519,721,1892,1784,12.06502345,11.4430733,14.15088212
Grac_v1_contig_10049,1258,417,1165,658,13.97257621,14.10895992,10.45110193
Grac_v1_contig_1005,1692,426,1150,917,10.61280815,10.35493071,10.82893652
Grac_v1_contig_10050,645,473,1933,729,30.91167219,45.65852262,22.58315651
Grac_v1_contig_10051,2824,556,1453,983,8.299103336,7.838819014,6.955136475
Grac_v1_contig_10052,1515,328,905,810,9.126038233,9.10092765,10.68290132
Grac_v1_contig_10053,954,2628,3220,2782,116.1176022,51.42297665,58.26739225
Grac_v1_contig_10054,338,78,244,235,9.72744929,10.99823111,13.89210294
Grac_v1_contig_10055,202,40,54,146,8.346986189,4.072790827,14.44169993
Grac_v1_contig_10056,429,84,167,328,8.253593337,5.930740126,15.2768348
Grac_v1_contig_10057,249,0,10,4,0,0.611857613,0.320979632
Grac_v1_contig_10058,2232,322,760,638,6.081108531,5.187631486,5.711409758
Grac_v1_contig_10059,1040,301,793,1104,12.19984265,11.61688161,21.210581
Grac_v1_contig_1006,1767,215,715,500,5.12888526,6.164803068,5.653928155
Grac_v1_contig_10060,2323,665,1203,679,12.06683873,7.889802519,5.840330111
Grac_v1_contig_10061,1468,597,1690,1074,17.14231016,17.53922359,14.61823895
Grac_v1_contig_10062,630,419,2094,993,28.03461179,50.63908425,31.49383369
Grac_v1_contig_10063,611,14,97,103,0.965846029,2.41869017,3.368316132
Grac_v1_contig_10064,208,302,381,363,61.20186845,27.90688458,34.87065626
Grac_v1_contig_10065,807,1037,1004,1314,54.16594129,18.95439355,32.53408982
Grac_v1_contig_10066,1625,1219,3879,1513,31.62069516,36.36772461,18.60383133
Grac_v1_contig_10067,3768,802,1828,1532,8.971902538,7.391200998,8.123902489
Grac_v1_contig_10068,2043,618,1440,874,12.75091003,10.73850543,8.547909132
Grac_v1_contig_10069,2287,424,711,733,7.814852133,4.736452122,6.40404892
Grac_v1_contig_1007,529,10,42,67,0.796829494,1.209604333,2.530672591
Grac_v1_contig_10070,220,89,289,209,17.05251338,20.01358442,18.981933
Grac_v1_contig_10071,806,74,98,0,3.87006047,1.852425494,0
Grac_v1_contig_10072,1179,69,297,225,2.466927343,3.837888557,3.813164523
Grac_v1_contig_10073,1806,2474,4357,3299,57.74348912,36.75526256,36.49903652
Grac_v1_contig_10074,551,5,50,23,0.38250708,1.382509489,0.834051884
Grac_v1_contig_10075,491,20,115,48,1.716997159,3.568338648,1.953334299
Grac_v1_contig_10076,2589,303,518,693,4.933233263,3.048227837,5.34832777
Grac_v1_contig_10077,1356,637,2149,1568,19.80162428,24.14495729,23.10485246
Grac_v1_contig_10078,234,332,1877,1337,59.80579934,122.2075762,114.1648422
Grac_v1_contig_10079,585,951,2032,1839,68.52447611,52.91972187,62.8120104
Grac_v1_contig_1008,1638,756,2645,1821,19.45489858,24.60149472,22.21328963
Grac_v1_contig_10080,200,19,203,388,4.004466624,15.46378339,38.76310528
Grac_v1_contig_10081,200,190,173,33,40.04466624,13.17849521,3.296862047
Grac_v1_contig_10082,1395,651,1156,1155,19.67106412,12.62505684,16.54339378
Grac_v1_contig_10083,686,28,82,65,1.720501235,1.821123725,1.893241744
Grac_v1_contig_10084,1675,220,536,289,5.536418899,4.875281464,3.447464971
Grac_v1_contig_10085,2403,514,2651,1594,9.016342926,16.80759878,13.25413461
Grac_v1_contig_10086,517,791,2133,819,64.49217347,62.85647583,31.6526583
Grac_v1_contig_10087,863,236,836,343,11.52715891,14.75860119,7.941456386
Grac_v1_contig_10088,2888,3369,5292,5862,49.17279508,27.91723241,40.55696575
Grac_v1_contig_10089,963,215,804,586,9.410945228,12.7197764,12.15872846
Grac_v1_contig_1009,238,9,55,15,1.593993791,3.520752107,1.259305595
Grac_v1_contig_10090,2451,797,1140,300,13.70680023,7.086164918,2.445652644
Grac_v1_contig_10091,717,742,1329,1128,43.62202503,28.23940492,31.43451577
Grac_v1_contig_10092,954,171,120,217,7.555597404,1.916384223,4.544940373
Grac_v1_contig_10093,2535,216,1150,472,3.591673584,6.91145671,3.720324872
Grac_v1_contig_10094,1998,621,944,1556,13.1013844,7.198238397,15.56076484
Grac_v1_contig_10095,1661,592,1147,724,15.02357008,10.52067248,8.709350416
Grac_v1_contig_10096,1253,2536,6172,4137,85.31379308,75.04548382,65.97072861
Grac_v1_contig_10097,1754,1072,1834,1836,25.76239705,15.93013506,20.91509871
Grac_v1_contig_10098,2430,584,752,442,10.13042456,4.71477837,3.63440086
Grac_v1_contig_10099,554,389,1388,853,29.59790076,38.17063781,30.76494176
Grac_v1_contig_101,1303,8829,21540,11042,285.6197102,251.8552445,169.3246388
Grac_v1_contig_1010,2353,1227,1726,1601,21.98081083,11.1755416,13.59521987
Grac_v1_contig_10100,547,18,507,126,1.387095146,14.12115918,4.602566261
