Contig ID,Size,Hbet_ech1,Hbet_ech2,Hbet_ech3,HBET1 RPKM,HBET2 RPKM,HBET3 RPKM
Hbet_v1_contig_1,760,9748,5326,11394,191.6532377,325.4738478,491.7804952
Hbet_v1_contig_10,558,13124,5506,5370,269.8550804,208.926516,200.3249333
Hbet_v1_contig_100,2170,26099,463,184800,5.835120751,1848.824588,1361.675501
Hbet_v1_contig_1000,929,8174,2588,7236,76.18634667,169.0971623,97.96793198
Hbet_v1_contig_10000,1052,302,323,366,8.396830239,7.552988456,11.46616478
Hbet_v1_contig_10001,1676,502,924,882,15.07740315,11.42478527,20.71206798
Hbet_v1_contig_10002,3651,549,940,1488,7.041166453,8.847988991,12.46401107
Hbet_v1_contig_10003,258,0,21,48,2.226015476,4.039010729,1.054590431
Hbet_v1_contig_10004,237,57,12,237,1.384718488,21.70968267,41.32926551
Hbet_v1_contig_10005,2858,375,135,1791,1.291814439,13.60463319,16.84263574
Hbet_v1_contig_10006,211,113,89,134,11.53549252,13.78719184,15.58144867
Hbet_v1_contig_10007,1134,3622,3444,1880,83.05746632,35.99136103,131.8033445
Hbet_v1_contig_10008,961,10,0,306,0,6.912760558,0.778597202
Hbet_v1_contig_10009,1762,278,144,578,2.235039375,7.121564461,4.014865274
Hbet_v1_contig_1001,1397,7174,5000,9629,97.88185443,149.6367462,103.6465366
Hbet_v1_contig_10010,3055,682,1053,1453,9.426397448,10.32542354,11.81555525
Hbet_v1_contig_10011,279,404,295,285,28.91654512,22.17655756,66.31446067
Hbet_v1_contig_10012,3299,7856,5786,2683,47.96502822,17.65598017,61.28564166
Hbet_v1_contig_10013,755,1599,525,888,19.0169534,25.53403736,20.06096394
Hbet_v1_contig_10014,1362,0,0,108,0,1.721472634,5.476979013
Hbet_v1_contig_10015,988,25,2,3420,0.055360709,75.14890154,4.268529489
Hbet_v1_contig_10016,2946,815,1023,2749,9.496672947,20.25794896,16.53963645
Hbet_v1_contig_10017,3058,690,1353,975,12.10009851,6.921824918,13.99867063
Hbet_v1_contig_10018,5014,511,753,1165,4.107137448,5.044232211,6.131936465
Hbet_v1_contig_10019,5370,438,218,4697,1.110224478,18.98889748,3.922506886
Hbet_v1_contig_1002,853,6433,2690,4730,86.24458552,120.3831172,202.4152191
Hbet_v1_contig_10020,1429,3234,1967,1401,37.64442966,21.2843005,48.55248739
Hbet_v1_contig_10021,294,1,20,69,1.860421097,5.095129605,3.161977773
Hbet_v1_contig_10022,420,4,6,19,0.39068843,0.982104692,0
Hbet_v1_contig_10023,786,827,756,1237,26.30436608,34.16651076,19.35629626
Hbet_v1_contig_10024,1216,7509,7087,1941,159.3886706,34.65336682,24.31455373
Hbet_v1_contig_10025,287,70,50,128,4.764493054,9.682367182,14.53644511
Hbet_v1_contig_10026,1227,1217,654,1186,14.57678594,20.98425725,23.83786928
Hbet_v1_contig_10027,1893,823,1784,3203,25.77346603,36.73328768,15.04393027
Hbet_v1_contig_10028,3069,561,663,1472,5.908064534,10.41272495,16.40869175
Hbet_v1_contig_10029,731,99,218,403,8.155821406,11.96853914,13.39950195
Hbet_v1_contig_1003,1130,500971,78290,69954,1894.769739,1343.963842,2836.980784
Hbet_v1_contig_10030,418,146,427,182,27.93702676,9.452541257,45.998308
Hbet_v1_contig_10031,437,112,59,277,3.692318576,13.76105743,7.730847704
Hbet_v1_contig_10032,368,56,65,149,4.830522713,8.790061732,5.421970369
Hbet_v1_contig_10033,3400,2000,3678,2056,29.58430685,13.12797281,30.60948727
Hbet_v1_contig_10034,590,2438,726,4559,33.65217972,167.7532937,207.6372375
Hbet_v1_contig_10035,419,0,4,150,0.261080574,7.771962768,0.541138288
Hbet_v1_contig_10036,3098,677,875,1159,7.724230588,8.121859977,9.031419862
Hbet_v1_contig_10037,1387,579,1318,3265,25.98768175,51.1046243,36.11116846
Hbet_v1_contig_10038,1396,4721,1768,3030,34.63581672,47.1205863,55.49857688
Hbet_v1_contig_10039,1084,236,254,269,6.408155251,5.387365901,7.279008862
Hbet_v1_contig_1004,2815,13674,4663,4605,45.30181548,35.51441871,36.48733039
Hbet_v1_contig_10040,1661,371,410,615,6.750606835,8.038202793,8.354184765
Hbet_v1_contig_10041,529,7083,1375,5031,71.08461517,206.4677004,100.0385679
Hbet_v1_contig_10042,2910,529,0,1194,0,8.907684228,1.838828814
Hbet_v1_contig_10043,573,3156,1431,1835,68.2988832,69.52402739,206.0417558
Hbet_v1_contig_10044,676,1214,717,1540,29.00688213,49.45696939,51.08289405
Hbet_v1_contig_10045,879,1159,1173,1696,36.49536635,41.88807941,84.06549446
Hbet_v1_contig_10046,2242,92,716,228,8.733855545,2.207764339,20.34766854
Hbet_v1_contig_10047,2648,101,68,542,0.702294913,4.443598189,2.457458556
Hbet_v1_contig_10048,1068,84,142,397,3.636182583,8.069985036,11.84636836
Hbet_v1_contig_10049,2311,641,1036,960,12.25994157,9.018301757,14.56963911
Hbet_v1_contig_1005,1455,395,83,1435,1.560068578,21.41126778,19.85311787
