Contig ID,Size,Hkan_ech1,Hkan_ech2,Hkan_ech3,Hkan_ENV_F1_RPKM,Hkan_ENV_F2_RPKM,Hkan_ENV_F3_RPKM
Hkan_v1_contig_1,969,151802,614822,378086,12325.26564,9998.634939,991.3617173
Hkan_v1_contig_10,1276,49355,41191,37150,627.0791007,746.0742251,2678.718158
Hkan_v1_contig_100,453,5937,7407,3854,317.6250953,218.015515,380.1217201
Hkan_v1_contig_1000,2201,14633,10213,9155,90.13717758,106.5889536,8.201469434
Hkan_v1_contig_10000,441,632,571,482,25.15174866,28.00801572,27.27528768
Hkan_v1_contig_10001,494,3330,3283,1976,129.0965391,102.5023646,114.2364585
Hkan_v1_contig_10002,615,5679,4081,3785,128.9027387,157.7119716,277.0913678
Hkan_v1_contig_10003,2141,1411,1271,2379,11.53186498,28.47420894,0.098997766
Hkan_v1_contig_10004,2213,1280,970,39,8.514536001,0.451603278,15.22054125
Hkan_v1_contig_10005,219,23,1399,5045,124.0921375,590.3246911,1432.06206
Hkan_v1_contig_10006,447,70,90,53,3.911160625,3.038381054,1.462025739
Hkan_v1_contig_10007,540,641,590,290,21.22408213,13.76189154,52.49791971
Hkan_v1_contig_10008,2026,513,851,818,8.159448109,10.34636405,2.353884453
Hkan_v1_contig_10009,1220,337,545,490,8.677754058,10.29224563,7.441562022
Hkan_v1_contig_1001,387,325,263,91,13.20126196,6.0256558,0.045640443
Hkan_v1_contig_10010,1025,323,667,682,12.64074395,17.05039333,7.32362135
Hkan_v1_contig_10011,2413,1819,1533,962,12.34114624,10.21625308,35.10610682
Hkan_v1_contig_10012,1108,723,2888,2191,50.6323511,50.67298755,88.34613986
Hkan_v1_contig_10013,342,516,2084,543,118.3701708,40.6862456,63.05947857
Hkan_v1_contig_10014,677,246,323,250,9.267967867,9.4629214,2.530718751
Hkan_v1_contig_10015,760,2589,3746,2845,95.74692751,95.9273774,116.4121357
Hkan_v1_contig_10016,1240,377,189,175,2.960811676,3.61651488,0.92587528
Hkan_v1_contig_10017,632,388,368,226,11.31101052,9.163581646,5.533614866
Hkan_v1_contig_10018,1806,1659,2214,2105,23.81390059,29.86814472,6.102779253
