Contig ID,Size,Ncfi_ech1,Ncfi_ech2,Ncfi_ENV_F1 RPKM,Ncfi_ENV_F2 RPKM
Ncfi_contig_1,1785,1248,2664,11.75516532,24.63700483
Ncfi_contig_10,982,36,8,0.616372692,0.134483935
Ncfi_contig_100,2580,4917,5400,32.04297853,34.5514249
Ncfi_contig_1000,1703,4,27,0.039490963,0.261722479
Ncfi_contig_10000,688,2641,2237,64.54050205,53.67467883
Ncfi_contig_10001,2302,16527,14906,120.7093981,106.8926161
Ncfi_contig_10002,1224,1333,1336,18.31053813,18.01843008
Ncfi_contig_10003,3571,731,997,3.441754613,4.608899272
Ncfi_contig_10004,2308,2476,2415,18.03712073,17.2732174
Ncfi_contig_10005,2671,2004,1760,12.61467906,10.87753998
Ncfi_contig_10006,1045,579,701,9.315681886,11.0737225
Ncfi_contig_10007,1850,1016,1180,9.233670141,10.52936516
Ncfi_contig_10008,1842,796,2966,7.265672503,26.58112939
Ncfi_contig_10009,662,0,0,0,0
Ncfi_contig_1001,1620,2706,2014,28.08440027,20.52278806
Ncfi_contig_10010,1631,649,858,6.690261792,8.684108389
Ncfi_contig_10011,1266,1521,1283,20.19983792,16.72957311
Ncfi_contig_10012,1312,501,573,6.420313978,7.209625324
Ncfi_contig_10013,747,442,1377,9.948418443,30.43023085
Ncfi_contig_10014,719,427,340,9.985075685,7.806240645
Ncfi_contig_10015,1874,251,261,2.251938425,2.2991263
Ncfi_contig_10016,203,348,428,28.82276113,34.80483984
Ncfi_contig_10017,205,35,1,2.870559543,0.080526356
Ncfi_contig_10018,1808,1184,1216,11.0104648,11.10266043
Ncfi_contig_10019,2826,2695,2513,16.03389327,14.679533
Ncfi_contig_1002,507,409,537,13.56337362,17.484702
Ncfi_contig_10020,2075,168,269,1.361267754,2.140060679
Ncfi_contig_10021,1168,8646,7670,124.458558,108.4037809
Ncfi_contig_10022,272,82,25,5.068708605,1.517270497
Ncfi_contig_10023,2224,659,889,4.981991797,6.598707633
Ncfi_contig_10024,2253,2716,2414,20.26846925,17.6875623
Ncfi_contig_10025,1481,2848,2855,32.33235234,31.82313511
Ncfi_contig_10026,1247,33,44,0.444938373,0.582476129
Ncfi_contig_10027,1413,3,4,0.035696979,0.046731502
Ncfi_contig_10028,3024,917,2342,5.09847067,12.78489049
Ncfi_contig_10029,1452,0,84,0,0.955002653
Ncfi_contig_1003,3230,12798,17567,66.61805672,89.78152699
Ncfi_contig_10030,1613,3293,3565,34.32493629,36.48522891
Ncfi_contig_10031,393,634,757,27.12370947,31.79766559
Ncfi_contig_10032,2440,1756,2444,12.10004712,16.53496515
Ncfi_contig_10033,1884,2687,2509,23.97944595,21.98425088
Ncfi_contig_10034,2524,2382,2255,15.86736394,14.74854251
Ncfi_contig_10035,349,804,1041,38.7331661,49.23990554
Ncfi_contig_10036,204,669,762,55.13765946,61.66187301
Ncfi_contig_10037,1588,728,757,7.707850058,7.869321523
Ncfi_contig_10038,1169,29,38,0.417095845,0.536612758
Ncfi_contig_10039,1979,9325,8455,79.22375495,70.52770083
