Contig ID,Size,Pcos_ech1,Pcos_ech2,Pcos1 F ENV RPKM,Pcos2 F ENV RPKM
Pcos_v1_contig_1,274,34,291,2.757295966,23.87893572
Pcos_v1_contig_10,1643,11156,8560,150.878019,117.1409499
Pcos_v1_contig_100,1368,1362,3972,22.123103,65.28233545
Pcos_v1_contig_1000,3675,1105,3706,6.68128451,22.67360685
Pcos_v1_contig_10000,242,4,17,0.36728201,1.579450777
Pcos_v1_contig_10001,3025,355,2074,2.607702271,15.41543958
Pcos_v1_contig_10002,547,1893,432,76.89857974,17.75697408
Pcos_v1_contig_10003,1540,2113,1298,30.488342,18.95075478
Pcos_v1_contig_10004,1019,0,2,0,0.044129433
Pcos_v1_contig_10005,296,39,29,2.92770913,2.202819068
Pcos_v1_contig_10006,223,45,20,4.483969831,2.01649743
Pcos_v1_contig_10007,1243,144,165,2.574224353,2.984594648
Pcos_v1_contig_10008,1523,319,580,4.654208242,8.562500908
Pcos_v1_contig_10009,408,117,203,6.372072813,11.18686546
Pcos_v1_contig_1001,600,678,502,25.10923461,18.81156845
Pcos_v1_contig_10010,373,524,487,31.21601684,29.35571548
Pcos_v1_contig_10011,1123,1423,934,28.15659765,18.6999162
Pcos_v1_contig_10012,1566,397,346,5.633181965,4.967717393
Pcos_v1_contig_10013,1830,2526,2853,30.67166045,35.05284095
Pcos_v1_contig_10014,567,5,73,0.195948515,2.894758525
Pcos_v1_contig_10015,498,414,268,18.47251507,12.09979442
Pcos_v1_contig_10016,1633,367,824,4.9938433,11.34523686
Pcos_v1_contig_10017,642,12,22,0.4153376,0.770477912
Pcos_v1_contig_10018,1603,1222,1108,16.93919294,15.54099348
Pcos_v1_contig_10019,367,1644,2516,99.53842855,154.140624
Pcos_v1_contig_1002,1446,1202,457,18.47103392,7.105922187
Pcos_v1_contig_10020,1762,1517,3730,19.13086944,47.59654931
Pcos_v1_contig_10021,1408,1046,230,16.50760472,3.672803736
Pcos_v1_contig_10022,1003,269,382,5.959452714,8.563177972
Pcos_v1_contig_10023,311,1477,806,105.5298054,58.27029183
Pcos_v1_contig_10024,329,4119,2047,278.1960281,139.8925173
Pcos_v1_contig_10025,388,102,40,5.841487845,2.317932613
Pcos_v1_contig_10026,713,9,863,0.280483947,27.21408934
Pcos_v1_contig_10027,227,4,42,0.391551746,4.160025316
Pcos_v1_contig_10028,4291,895,3311,4.634677846,17.34895045
Pcos_v1_contig_10029,1980,1125,1106,12.62531909,12.55921448
Pcos_v1_contig_1003,1879,3822,3327,45.19797044,39.81058515
Pcos_v1_contig_10030,1117,822,166,16.35210532,3.341392206
Pcos_v1_contig_10031,566,0,14,0,0.556140016
Pcos_v1_contig_10032,913,1431,982,34.82762723,24.18317121
Pcos_v1_contig_10033,1965,2048,4640,23.15914003,53.09186314
Pcos_v1_contig_10034,2114,711,1328,7.473424457,14.12425769
Pcos_v1_contig_10035,1407,3225,950,50.93199089,15.1810583
Pcos_v1_contig_10036,360,0,8,0,0.499643252
Pcos_v1_contig_10037,1828,1046,632,12.71482902,7.773443158
Pcos_v1_contig_10038,1288,2034,1835,35.09054527,32.03264096
Pcos_v1_contig_10039,384,27,7,1.562383238,0.409863605
Pcos_v1_contig_1004,1283,2843,2016,49.23854766,35.32941219
Pcos_v1_contig_10040,316,0,155,0,11.02851799
Pcos_v1_contig_10041,2138,1061,372,11.02713558,3.912080469
Pcos_v1_contig_10042,1795,995,1150,12.31724724,14.40475671
Pcos_v1_contig_10043,494,114,104,5.127821909,4.733462389
Pcos_v1_contig_10044,1425,643,855,10.02654113,13.49036781
Pcos_v1_contig_10045,362,245,167,15.03877788,10.37242829
Pcos_v1_contig_10046,1400,1017,1857,16.14165082,29.82334884
Pcos_v1_contig_10047,270,49,15,4.03262044,1.249108131
Pcos_v1_contig_10048,671,467,59,15.46498103,1.976978889
Pcos_v1_contig_10049,818,62,159,1.684199046,4.37035143
Pcos_v1_contig_1005,1466,150,404,2.273590887,6.196121641
Pcos_v1_contig_10050,700,0,45,0,1.445396551
Pcos_v1_contig_10051,2765,552,848,4.436075952,6.895618989
Pcos_v1_contig_10052,1449,2401,2609,36.81957793,40.48351693
Pcos_v1_contig_10053,391,91,96,5.171537356,5.520355114
Pcos_v1_contig_10054,264,15,98,1.262531909,8.346313418
Pcos_v1_contig_10055,943,24,963,0.565528609,22.96080629
Pcos_v1_contig_10056,833,1236,1553,32.97072526,41.91784956
Pcos_v1_contig_10057,590,98,751,3.690872945,28.61939612
Pcos_v1_contig_10058,617,316,841,11.38038487,30.64667566
Pcos_v1_contig_10059,603,901,201,33.20186734,7.494648783
Pcos_v1_contig_1006,1303,1463,6079,24.94910332,104.8963238
Pcos_v1_contig_10060,488,5,225,0.227669689,10.36657362
Pcos_v1_contig_10061,335,492,763,32.63437704,51.20970467
Pcos_v1_contig_10062,1387,1805,1210,28.91716921,19.61469004
Pcos_v1_contig_10063,3104,1822,2124,13.04312605,15.38527772
Pcos_v1_contig_10064,3866,3843,3913,22.08836478,22.75728972
Pcos_v1_contig_10065,843,1729,1502,45.57455637,40.06036467
Pcos_v1_contig_10066,338,522,260,34.31696201,17.29534335
Pcos_v1_contig_10067,842,124,2007,3.272386745,53.59296951
Pcos_v1_contig_10068,2064,1688,1293,18.17262984,14.08514662
Pcos_v1_contig_10069,384,18,36,1.041588825,2.10786997
Pcos_v1_contig_1007,503,182,606,8.040044159,27.08801489
Pcos_v1_contig_10070,1190,1602,2596,29.91373083,49.04901237
Pcos_v1_contig_10071,1118,422,654,8.387367619,13.15250529
Pcos_v1_contig_10072,1049,8049,9697,170.4988564,207.8425431
Pcos_v1_contig_10073,1588,474,469,6.632585769,6.640409848
Pcos_v1_contig_10074,1554,948,918,13.55540052,13.28202236
