Contig ID,Size,Pgra_ech1,Pgra_ech2,Pgra_ENV_F1_RPKM,Pgra_ENV_F2_RPKM
Pgra_v1_contig_1,1504,889,1069,11.69250831,15.5611245
Pgra_v1_contig_10,999,2610,3174,51.68074691,69.55887393
Pgra_v1_contig_100,1345,8177,8720,120.2611842,141.9401661
Pgra_v1_contig_1000,1714,3543,2028,40.88971629,25.90408411
Pgra_v1_contig_10000,2230,3952,3612,35.05628052,35.46124566
Pgra_v1_contig_10001,1593,569,1462,7.065619617,20.09290382
Pgra_v1_contig_10002,196,49,33,4.945312851,3.686115821
Pgra_v1_contig_10003,2736,2547,1351,18.41478338,10.81061409
Pgra_v1_contig_10004,203,124,159,12.08312894,17.14794946
Pgra_v1_contig_10005,603,358,306,11.74409287,11.11002977
Pgra_v1_contig_10006,369,113,72,6.057673195,4.271862238
Pgra_v1_contig_10007,2471,989,1073,7.91730378,9.506881598
Pgra_v1_contig_10008,1589,367,823,4.568734591,11.33932092
Pgra_v1_contig_10009,1525,586,511,7.601189065,7.336048012
Pgra_v1_contig_1001,2034,4266,3685,41.48811135,39.66410436
Pgra_v1_contig_10010,243,190,120,15.46682209,10.81150319
Pgra_v1_contig_10011,243,253,74,20.59529467,6.667093636
Pgra_v1_contig_10012,400,455,233,22.50117347,12.75284374
Pgra_v1_contig_10013,2640,1369,14890,10.25777772,123.4814951
Pgra_v1_contig_10014,1130,1831,17009,32.05262949,329.5425107
Pgra_v1_contig_10015,868,4037,3223,92.0010506,81.29272634
Pgra_v1_contig_10016,788,1727,175,43.35307256,4.862089396
Pgra_v1_contig_10017,1106,288,2499,5.150994941,49.46775916
Pgra_v1_contig_10018,288,92,58,6.319010866,4.409066146
Pgra_v1_contig_10019,1820,2011,438,21.85719592,5.268825691
Pgra_v1_contig_1002,801,3183,4114,78.60639603,112.4457071
Pgra_v1_contig_10020,1089,1964,1486,35.67527802,29.87459581
Pgra_v1_contig_10021,209,231,88,21.8634884,9.218229039
Pgra_v1_contig_10022,2198,1522,2103,13.69748164,20.9470415
Pgra_v1_contig_10023,2679,2947,1631,21.76011493,13.32884004
Pgra_v1_contig_10024,1248,8383,5123,132.8735822,89.87127003
Pgra_v1_contig_10025,2130,764,1033,7.095246983,10.61773365
Pgra_v1_contig_10026,2009,1665,13593,16.39411826,148.1311821
Pgra_v1_contig_10027,959,564,68,11.63360354,1.552392064
Pgra_v1_contig_10028,214,468,965,43.25993298,98.72443308
Pgra_v1_contig_10029,364,817,247,44.39912747,14.85616376
Pgra_v1_contig_1003,3409,7870,24938,45.66689603,160.1569272
