Contig ID,Size,Phco_ech1,Phco_ech2,Phco_ech3,Phco_F1_RPKM,Phco_F2_RPKM,Phco_F3_RPKM
Phco_v1_contig_1,1809,9269,2594,1453,77.98001437,57.11684014,58.54890026
Phco_v1_contig_10,1223,1317,318,275,16.3888437,10.356987,16.39071622
Phco_v1_contig_100,948,4444,1446,707,71.34354882,60.75649669,54.36291938
Phco_v1_contig_1000,1612,14443,6977,2815,136.3582344,172.3996793,127.2931566
Phco_v1_contig_10000,1423,1910,803,418,20.42760553,22.47726229,21.41228801
Phco_v1_contig_10001,464,646,292,77,21.18866199,25.06672746,12.09663117
Phco_v1_contig_10002,1575,3911,1263,633,37.79168477,31.94151865,29.29643979
Phco_v1_contig_10003,1097,675,293,223,9.364533354,10.63882735,14.81801159
Phco_v1_contig_10004,781,229,55,20,4.462450832,2.805074653,1.866683361
Phco_v1_contig_10005,996,746,361,156,11.39904543,14.43712217,11.41713022
Phco_v1_contig_10006,2358,664,388,200,4.285616191,6.554215143,6.18269595
Phco_v1_contig_10007,948,233,80,47,3.740559603,3.36135528,3.613942307
Phco_v1_contig_10008,1211,1587,719,158,19.9444369,23.64925779,9.510528216
Phco_v1_contig_10009,1862,478,172,51,3.906944263,3.679438417,1.996559209
Phco_v1_contig_1001,526,100,90,5,2.893365185,6.815371495,0.692908605
Phco_v1_contig_10010,904,2113,317,203,35.57296476,13.96765823,16.3688927
Phco_v1_contig_10011,249,221,7,27,13.50771604,1.119776789,7.904167075
Phco_v1_contig_10012,222,137,101,27,9.391967656,18.12179309,8.865484692
Phco_v1_contig_10013,1308,6898,1611,708,80.26097693,49.0592116,39.45637734
Phco_v1_contig_10014,1528,2343,948,634,23.33661868,24.71256083,30.24527922
Phco_v1_contig_10015,645,371,170,63,8.75393244,10.49837242,7.119877629
Phco_v1_contig_10016,1009,825,347,185,12.44376434,13.69843889,13.36510136
Phco_v1_contig_10017,1874,3175,933,547,25.78476268,19.83100963,21.276953
Phco_v1_contig_10018,1537,526,301,242,5.208358529,7.800553078,11.47712715
Phco_v1_contig_10019,2209,1420,584,288,9.78321559,10.53052199,9.503606949
Phco_v1_contig_1002,1494,1200,865,518,12.22417741,23.06206958,25.27381818
Phco_v1_contig_10020,1644,982,395,88,9.090728137,9.570355065,3.901867823
Phco_v1_contig_10021,1357,1085,513,269,12.16855155,15.05810377,14.44987622
Phco_v1_contig_10022,1269,1339,587,247,16.05860998,18.42507428,14.18819098
Phco_v1_contig_10023,1227,591,388,170,7.330471569,12.59563106,10.09941116
Phco_v1_contig_10024,835,166,190,98,3.025593706,9.063582531,8.555222221
Phco_v1_contig_10025,326,144,202,58,6.722547625,24.68121513,12.96886854
Phco_v1_contig_10026,1542,772,195,141,7.619420152,5.037128219,6.66540332
Phco_v1_contig_10027,1833,2494,1145,500,20.70727636,24.88145596,19.88379303
Phco_v1_contig_10028,1632,2818,2213,776,26.27906021,54.01246871,34.66037534
Phco_v1_contig_10029,1840,257,207,108,2.125711372,4.481106758,4.278560004
Phco_v1_contig_1003,2359,30485,11167,5009,196.6741374,188.5564285,154.7799797
Phco_v1_contig_10030,858,392,164,90,6.953248884,7.613587239,7.646222229
Phco_v1_contig_10031,849,3178,686,501,56.96855427,32.18467987,43.01517857
Phco_v1_contig_10032,1534,3004,1687,1381,29.80324578,43.80487962,65.62359428
Phco_v1_contig_10033,3499,3592,1511,741,15.6236097,17.20098393,15.43710862
Phco_v1_contig_10034,476,310,138,74,9.911599308,11.54795019,11.33225821
Phco_v1_contig_10035,2829,7759,2961,1543,41.74089914,41.69060794,39.75801316
Phco_v1_contig_10036,1269,718,43,14,8.610964875,1.349707315,0.804188963
Phco_v1_contig_10037,2165,891,489,272,6.263380544,8.996710103,9.158043412
Phco_v1_contig_10038,2265,1582,656,279,10.62985324,11.53634941,8.978994209
Phco_v1_contig_10039,935,1059,604,266,17.23746291,25.73108479,20.73775409
Phco_v1_contig_1004,359,288,67,33,12.20919513,7.433838509,6.700561318
Phco_v1_contig_10040,1369,2289,494,514,25.4466924,14.37329268,27.36852331
Phco_v1_contig_10041,1057,244,78,89,3.51320777,2.939357318,6.137714936
Phco_v1_contig_10042,220,259,17,18,17.91703239,3.077931914,5.964053338
Phco_v1_contig_10043,3634,3037,1590,938,12.71887984,17.4278964,18.8152334
Phco_v1_contig_10044,1970,2596,703,304,20.05522125,14.21418184,11.24861498
Phco_v1_contig_10045,3515,857,364,140,3.710602972,4.124856292,2.903316624
Phco_v1_contig_10046,262,1539,1401,2,89.39769558,212.9950998,0.556442635
Phco_v1_contig_10047,262,1461,55,472,84.86681822,8.361691999,131.320462
Phco_v1_contig_10048,1308,1622,644,304,18.87261591,19.61150358,16.94172134
Phco_v1_contig_10049,1557,365,46,4,3.56774041,1.176798178,0.187267785
Phco_v1_contig_1005,359,261,83,40,11.06458309,9.209083526,8.121892507
Phco_v1_contig_10050,2147,3375,1005,559,23.92383113,18.64518881,18.97891838
Phco_v1_contig_10051,1668,952,615,280,8.686201457,14.68628114,12.2364004
Phco_v1_contig_10052,1720,4765,1573,801,42.16221841,36.42780842,33.94655941
Phco_v1_contig_10053,240,355,82,45,22.51158671,13.60928719,13.66762223
Phco_v1_contig_10054,650,509,167,164,11.91772668,10.23377543,18.3917132
Phco_v1_contig_10055,508,27,22,4,0.80888922,1.725010475,0.573968388
Phco_v1_contig_10056,1981,1645,1129,303,12.63776928,22.70085604,11.14935766
Phco_v1_contig_10057,986,174,23,24,2.685723683,0.929145417,1.774295787
Phco_v1_contig_10058,1452,761,139,517,7.976402041,3.813124208,25.95467657
Phco_v1_contig_10059,484,238,169,101,7.483772743,13.90830197,15.21134816
Phco_v1_contig_1006,1595,659,616,204,6.288017226,15.3834163,9.323117862
Phco_v1_contig_10060,526,29,18,8,0.839075904,1.363074299,1.108653768
Phco_v1_contig_10061,1166,1967,628,293,25.67407497,21.45328793,18.31727074
Phco_v1_contig_10062,887,1072,522,258,18.39332146,23.4411898,21.2025346
Phco_v1_contig_10063,1601,763,314,250,7.253075556,7.812159189,11.38257109
Phco_v1_contig_10064,3239,3302,1508,702,15.5151192,18.54484303,15.79857291
Phco_v1_contig_10065,407,2408,301,175,90.04323072,29.45810831,31.34262265
Phco_v1_contig_10066,3416,1786,773,517,7.95705918,9.013519448,11.03225713
Phco_v1_contig_10067,2492,588,257,184,3.591023801,4.107880994,5.38222042
Phco_v1_contig_10068,1881,1331,499,219,10.76907138,10.56682508,8.486859526
Phco_v1_contig_10069,493,17,56,6,0.524796582,4.524534207,0.887147893
Phco_v1_contig_1007,589,531,282,192,13.72044578,19.07069769,23.76170657
Phco_v1_contig_10070,637,1080,259,56,25.80318515,16.19545299,6.408262439
Phco_v1_contig_10071,2219,610,168,118,4.183709568,3.015676472,3.876291239
Phco_v1_contig_10072,3072,1514,873,525,7.50055948,11.31946238,12.45746818
Phco_v1_contig_10073,1158,238,170,64,3.127932649,5.847539043,4.028683122
Phco_v1_contig_10074,1066,2471,831,487,35.27804714,31.05107122,33.30147356
Phco_v1_contig_10075,1190,1177,756,187,15.05284179,25.30507346,11.45476911
Phco_v1_contig_10076,2784,2964,1299,938,16.20309446,18.5854332,24.55982693
Phco_v1_contig_10077,258,265,4,1,15.63202221,0.617551319,0.282534827
