Contig ID,Size,Prev_ech1,Prev_ech2,Prev1 F ENV RPKM,Prev2 F ENV RPKM
Prev_v1_contig_1,737,2979,3710,77.48938156,81.18852607
Prev_v1_contig_10,378,9411,8516,101.3572807,77.16207285
Prev_v1_contig_100,754,10400,9153,88.88802264,65.81462697
Prev_v1_contig_1000,544,1966,1991,41.28116218,35.17132404
Prev_v1_contig_10000,212,2076,2725,12.0528419,13.30998828
Prev_v1_contig_10001,5721,783,680,17.17471381,12.54832376
Prev_v1_contig_10002,230,2396,3606,18.71003055,23.68985821
Prev_v1_contig_10003,2206,4716,6229,31.82304568,35.3618789
Prev_v1_contig_10004,195,3246,3433,30.35525139,27.00897965
Prev_v1_contig_10005,1500,714,1033,36.21142298,44.0754502
Prev_v1_contig_10006,405,2625,2850,37.5826942,34.3283175
Prev_v1_contig_10007,580,4199,5762,27.62456873,31.89127936
Prev_v1_contig_10008,460,1599,2143,9.351444355,10.54390434
Prev_v1_contig_10009,331,167,314,9.471940262,14.98308292
Prev_v1_contig_1001,1638,5084,5273,290.9376418,253.8640473
Prev_v1_contig_10010,373,1510,2259,23.68890143,29.81489336
Prev_v1_contig_10011,443,594,804,17.84863242,20.32467479
Prev_v1_contig_10012,663,24,31,1.723213784,1.872572615
Prev_v1_contig_10013,261,597,573,45.0588179,36.3838909
Prev_v1_contig_10014,2296,3192,3807,144.6644082,145.1545804
Prev_v1_contig_10015,297,3172,4012,23.61539014,25.12881021
Prev_v1_contig_10016,319,1500,2045,20.19391153,23.16176006
Prev_v1_contig_10017,1415,744,848,61.21476604,58.69865723
Prev_v1_contig_10018,2000,717,1351,7.450097641,11.80992702
Prev_v1_contig_10019,400,1026,1444,44.10132944,52.2180404
Prev_v1_contig_1002,1436,2271,2553,67.49888503,63.83800928
Prev_v1_contig_10020,291,794,956,37.95904777,38.45047905
Prev_v1_contig_10021,1522,3272,3263,51.84025202,43.49305748
Prev_v1_contig_10022,241,921,1186,10.98026358,11.89561446
Prev_v1_contig_10023,222,5567,6644,94.11250782,94.49412428
Prev_v1_contig_10024,620,1080,1402,7.656957697,8.362373511
Prev_v1_contig_10025,899,333,383,23.73182477,22.96332272
Prev_v1_contig_10026,297,6491,7203,39.99915138,37.34234947
Prev_v1_contig_10027,2473,257,319,12.83042607,13.39823818
Prev_v1_contig_10028,607,2524,2878,40.32248453,38.68100764
Prev_v1_contig_10029,616,783,893,6.146887743,5.897854233
Prev_v1_contig_1003,1119,25489,25388,224.6636009,188.259744
Prev_v1_contig_10030,517,381,414,18.30590733,16.73461328
Prev_v1_contig_10031,1179,2933,4957,13.54560818,19.25991743
Prev_v1_contig_10032,1047,987,1171,10.40788424,10.3884619
Prev_v1_contig_10033,1039,455,673,5.664086215,7.048270753
Prev_v1_contig_10034,330,11,0,0.613018276,0
Prev_v1_contig_10035,491,65,86,4.372277078,4.866781254
Prev_v1_contig_10036,1457,255,275,6.856300284,6.220587443
Prev_v1_contig_10037,532,363,305,3.50932096,2.480649243
Prev_v1_contig_10038,363,216,183,21.12695266,15.05855341
Prev_v1_contig_10039,468,1120,1491,15.7298489,17.61705164
Prev_v1_contig_1004,1377,853,432,9.270211226,3.949784502
Prev_v1_contig_10040,625,380,431,14.25613752,13.60331032
Prev_v1_contig_10041,310,1494,1268,58.57076789,41.82140604
Prev_v1_contig_10042,2145,2385,1801,86.92442343,55.22251782
Prev_v1_contig_10043,244,512,666,12.63246552,13.82424576
Prev_v1_contig_10044,1027,28,7,1.783325892,0.375076435
Prev_v1_contig_10045,301,1341,1417,10.61874442,9.439810936
Prev_v1_contig_10046,1248,650,759,24.29042821,23.86231894
Prev_v1_contig_10047,771,459,479,8.095101918,7.107129104
Prev_v1_contig_10048,538,3748,4104,30.95733888,28.51809077
Prev_v1_contig_10049,2046,382,389,7.257906618,6.217942054
Prev_v1_contig_1005,1241,20452,18663,320.3269995,245.9168423
Prev_v1_contig_10050,2270,652,665,23.80824987,20.42916317
Prev_v1_contig_10051,368,18,10,0.908088316,0.424428598
Prev_v1_contig_10052,3269,2765,3373,28.07581197,28.81393596
Prev_v1_contig_10053,936,530,1061,5.480312445,9.229833983
Prev_v1_contig_10054,1642,47,128,3.0134629,6.904417055
Prev_v1_contig_10055,512,917,1852,16.32273056,27.73406406
Prev_v1_contig_10056,412,1767,2518,14.06173564,16.85804315
Prev_v1_contig_10057,1078,377,536,11.71373422,14.01095896
Prev_v1_contig_10058,266,1095,1237,41.90014952,39.82173786
Prev_v1_contig_10059,534,184,220,15.13913569,15.22842522
Prev_v1_contig_1006,969,1531,1792,22.52526736,22.18103591
Prev_v1_contig_10060,590,1152,1526,22.28527533,24.83528307
Prev_v1_contig_10061,288,314,265,7.459252231,5.29615363
Prev_v1_contig_10062,660,37,52,2.54235797,3.005988922
Prev_v1_contig_10063,214,3199,4044,49.6979254,52.85477429
Prev_v1_contig_10064,213,1858,2979,17.52916324,23.64476679
Prev_v1_contig_10065,240,2406,3965,13.46317354,18.66569084
Prev_v1_contig_10066,1579,415,377,4.209451131,3.217123858
Prev_v1_contig_10067,214,3719,4896,27.87178721,30.86946511
Prev_v1_contig_10068,402,31,58,2.583884146,4.067133172
Prev_v1_contig_10069,213,3668,3513,50.11997382,40.38394243
Prev_v1_contig_1007,3449,134,258,4.92122787,7.971452055
Prev_v1_contig_10070,872,1957,2657,23.31706917,26.63322424
Prev_v1_contig_10071,1211,1000,1546,10.77008615,14.00805127
Prev_v1_contig_10072,294,699,657,18.61160637,14.71706163
Prev_v1_contig_10073,669,615,507,27.67608757,19.19493278
Prev_v1_contig_10074,621,166,209,6.88819276,7.296129704
Prev_v1_contig_10075,344,173,199,14.11293757,13.65757045
Prev_v1_contig_10076,1077,351,386,5.168152399,4.781504356
Prev_v1_contig_10077,255,2037,2457,8.958665878,9.090892512
Prev_v1_contig_10078,870,1955,2123,20.40218987,18.63927746
Prev_v1_contig_10079,801,124,152,4.994061796,5.150209203
Prev_v1_contig_1008,212,3889,4993,52.91345618,57.15297059
Prev_v1_contig_10080,8599,362,415,24.26507941,23.40293352
Prev_v1_contig_10081,277,164,202,9.413184277,9.754233283
Prev_v1_contig_10082,260,79,131,1.719057337,2.398190193
Prev_v1_contig_10083,394,360,337,23.00490401,18.11744208
Prev_v1_contig_10084,292,753,1196,33.26169877,44.44569334
Prev_v1_contig_10085,733,2772,2730,25.47522928,21.10748933
Prev_v1_contig_10086,755,3501,3648,61.74499306,54.12694566
Prev_v1_contig_10087,714,521,474,13.24663461,10.13900252
Prev_v1_contig_10088,343,529,726,10.93994446,12.63121484
Prev_v1_contig_10089,372,422,1504,5.325910409,15.96902121
Prev_v1_contig_1009,1767,78504,71224,611.532231,466.77005
Prev_v1_contig_10090,914,38,52,2.262387041,2.604568041
Prev_v1_contig_10091,549,3392,5140,66.62622474,84.9379034
Prev_v1_contig_10092,2048,138,198,4.625111821,5.582868478
Prev_v1_contig_10093,2263,3947,4809,19.99655482,20.49707474
Prev_v1_contig_10094,1942,399,491,23.75506393,24.59313285
Prev_v1_contig_10095,1274,1882,2329,26.20142178,27.27870716
Prev_v1_contig_10096,570,1545,2022,33.05671196,36.39664703
Prev_v1_contig_10097,317,139,121,1.907469374,1.396938219
Prev_v1_contig_10098,241,1281,1650,13.57530958,14.71070928
Prev_v1_contig_10099,710,1584,3202,14.02608466,23.85347532
Prev_v1_contig_101,927,168,150,3.361885764,2.525305853
Prev_v1_contig_1010,617,8353,27959,106.4716108,299.8209895
Prev_v1_contig_10100,394,819,750,28.08738281,21.63902511
Prev_v1_contig_10101,1001,308,327,2.3828055,2.128309022
Prev_v1_contig_10102,487,415,17,4.614769511,0.15903763
Prev_v1_contig_10103,1018,493,655,7.143750112,7.984903854
Prev_v1_contig_10104,359,1055,1383,7.763971124,8.562541469
Prev_v1_contig_10105,438,316,405,7.697532474,8.299817179
Prev_v1_contig_10106,347,390,251,6.412173074,3.47186961
Prev_v1_contig_10107,1770,2579,2838,26.72506642,24.74166362
Prev_v1_contig_10108,369,1488,1425,10.48752977,8.449561974
Prev_v1_contig_10109,210,1811,2090,28.78792231,27.95034762
Prev_v1_contig_1011,634,1448,1572,39.31905218,35.91170923
Prev_v1_contig_10110,324,2897,2629,48.58938971,37.09647049
Prev_v1_contig_10111,1782,2337,2591,54.23977066,50.59127225
Prev_v1_contig_10112,1113,95,130,6.280074371,7.229921631
Prev_v1_contig_10113,1961,418,1113,15.83670928,35.47585596
Prev_v1_contig_10114,2312,1115,1420,11.69332056,12.52853782
Prev_v1_contig_10115,2275,1031,1169,10.33196377,9.855706832
Prev_v1_contig_10116,1046,433,693,4.194510459,5.647752751
Prev_v1_contig_10117,298,10,469,0.647660586,25.55461645
Prev_v1_contig_10118,526,1076,1700,7.784049282,10.34644808
Prev_v1_contig_10119,329,4877,7493,25.19422368,32.5651448
Prev_v1_contig_1012,1330,17689,29977,178.5736998,254.5959194
Prev_v1_contig_10120,524,2005,2394,22.51749294,22.61928436
Prev_v1_contig_10121,246,472,726,16.07210582,20.79775516
Prev_v1_contig_10122,2594,813,1018,18.91483309,19.92548043
Prev_v1_contig_10123,634,2298,2945,91.77998163,98.95375912
Prev_v1_contig_10124,433,3953,5751,47.24562841,57.8265442
Prev_v1_contig_10125,1623,1359,2014,79.18861336,98.73060621
Prev_v1_contig_10126,434,1024,1470,8.318157383,10.0460091
Prev_v1_contig_10127,253,173,280,12.6104195,17.17079954
Prev_v1_contig_10128,529,2931,3539,11.03268762,11.20714838
Prev_v1_contig_10129,398,5610,5401,53.11008704,43.01672916
Prev_v1_contig_1013,1548,3812,4492,43.11440221,42.7423386
Prev_v1_contig_10130,420,1542,2627,13.15589749,18.85581184
Prev_v1_contig_10131,318,455,559,6.302523679,6.514242972
Prev_v1_contig_10132,989,381,329,15.87838483,11.53523115
Prev_v1_contig_10133,1511,1930,1270,24.91552455,13.7932149
Prev_v1_contig_10134,401,1171,1605,7.45317137,8.594256367
Prev_v1_contig_10135,389,1026,1226,10.19129167,10.24522255
Prev_v1_contig_10136,3900,1806,2099,17.87422847,17.47716769
Prev_v1_contig_10137,247,824,1168,13.27453845,15.83011671
Prev_v1_contig_10138,465,260,446,4.10914746,5.930103772
Prev_v1_contig_10139,557,2529,3308,26.7123059,29.39524653
Prev_v1_contig_1014,3846,3303,4151,30.38435619,32.12500871
Prev_v1_contig_10140,531,803,166,8.514444101,1.480805086
Prev_v1_contig_10141,256,715,294,54.82835456,18.96686518
Prev_v1_contig_10142,1737,3810,4739,13.86495259,14.50872262
Prev_v1_contig_10143,485,3522,3270,102.9259044,80.39557555
Prev_v1_contig_10144,346,5022,5756,155.7856364,150.2175054
Prev_v1_contig_10145,254,1242,1527,23.57433233,24.38405328
Prev_v1_contig_10146,1679,775,2064,13.75679059,30.82294794
Prev_v1_contig_10147,1088,379,561,15.82944557,19.71235043
Prev_v1_contig_10148,524,16,33,0.79054653,1.371735726
Prev_v1_contig_10149,264,700,874,9.191457083,9.654878486
Prev_v1_contig_1015,1132,6495,10364,115.0776737,154.4857334
Prev_v1_contig_10150,568,2930,4264,61.92977651,75.82250778
Prev_v1_contig_10151,470,2886,3844,20.5905449,23.07299372
Prev_v1_contig_10152,316,340,488,14.51682881,17.52918467
Prev_v1_contig_10153,1404,18,20,1.102471438,1.030561451
Prev_v1_contig_10154,284,159,193,5.357029493,5.470578798
Prev_v1_contig_10155,495,4554,6323,46.71140221,54.56348684
Prev_v1_contig_10156,2458,1704,2229,34.90060224,38.4080674
Prev_v1_contig_10157,651,919,1927,9.351338813,16.49639517
Prev_v1_contig_10158,215,410,471,4.673013598,4.51630383
Prev_v1_contig_10159,398,2713,2743,42.70135782,36.32174915
Prev_v1_contig_1016,1881,889,1030,20.41053859,19.89477283
Prev_v1_contig_10160,1222,1556,2300,14.45237025,17.97241252
Prev_v1_contig_10161,670,622,834,28.66396293,32.33411327
Prev_v1_contig_10162,1066,898,1225,9.157093885,10.50912299
Prev_v1_contig_10163,1133,1821,2416,9.18440985,10.25149716
Prev_v1_contig_10164,415,1928,2199,34.64031157,33.23908387
Prev_v1_contig_10165,1017,21,5,1.636527724,0.327810706
Prev_v1_contig_10166,758,156,222,3.824344657,4.578618479
Prev_v1_contig_10167,2743,2424,2583,167.1579356,149.8538294
Prev_v1_contig_10168,1151,3842,4493,41.73033108,41.05631287
Prev_v1_contig_10169,757,1151,1381,17.93946106,18.10826338
Prev_v1_contig_1017,1635,6012,5198,91.47188024,66.53558281
Prev_v1_contig_10170,238,2008,2321,16.35296207,15.90218924
Prev_v1_contig_10171,478,143,206,4.310405233,5.223941923
Prev_v1_contig_10172,368,223,161,6.021236614,3.657259382
Prev_v1_contig_10173,1140,1698,3600,17.08763211,30.47865206
Prev_v1_contig_10174,340,179,366,4.17973794,7.189954857
Prev_v1_contig_10175,476,547,1124,4.430250139,7.658721702
Prev_v1_contig_10176,2567,225,223,3.207003348,2.674057946
Prev_v1_contig_10177,1666,174,200,5.294779495,5.120091021
Prev_v1_contig_10178,240,1746,2359,13.76321354,15.64417285
Prev_v1_contig_10179,642,1518,1465,41.39573766,33.61015653
Prev_v1_contig_1018,818,75291,64646,946.4820918,683.6912938
Prev_v1_contig_10180,1967,326,320,20.42374376,16.86618219
Prev_v1_contig_10181,951,61,73,2.542208596,2.559488979
Prev_v1_contig_10182,986,391,484,20.93788983,21.80472282
Prev_v1_contig_10183,307,2191,1549,33.92820725,20.17989994
Prev_v1_contig_10184,264,1007,1266,10.6834248,11.29961869
Prev_v1_contig_10185,982,8883,8104,87.78031029,67.37300801
