"OGid","Phco_ech1","Phco_ech2","Phco_ech3","Phlu_ech1","Phlu_ech2","Phlu_ech3","Hbet_ech1","Hbet_ech2","Hbet_ech3","Hkan_ech1","Hkan_ech2","Hkan_ech3","Gpru_ech1","Gpru_ech2","Gpru_ech3","Grac_ech1","Grac_ech2","Grac_ech3","Pgab_ech1","Pgab_ech2","Pgab_ech3","Psem_ech1","Psem_ech2","Psem_ech3","Pcos_ech1","Pcos_ech2","Pgra_ech1","Pgra_ech2","Prev_ech1","Prev_ech2","Mper_ech1","Mper_ech2","Mper_ech3","Ncfi_ech1","Ncfi_ech2","Nmon_ech1","Nmon_ech2","ScorA_ech2","ScorA_ech3","ScorB_ech1","ScorB_ech2","ScorB_ech3","ScorC_ech1","ScorC_ech2","ScorC_ech3","ScorD_ech1","ScorD_ech2","ScorD_ech3"
"10",1753,1753,1753,1862,1862,1862,1453,1453,1453,1751,1751,1751,1857,1857,1857,1914,1914,1914,1983,1983,1983,2585,2585,2585,2040,2040,1882,1882,2464,2464,4784,4784,4784,2295,2295,1766,1766,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663,1663
"11",2011,2011,2011,1703,1703,1703,1430,1430,1430,2749,2749,2749,1636,1636,1636,1997,1997,1997,NA,NA,NA,NA,NA,NA,2077,2077,1972,1972,2136,2136,1413,1413,1413,NA,NA,2523,2523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1053,1053,1053,1046,1046,1046,1358,1358,1358,457,457,457,1091,1091,1091,1053,1053,1053,766,766,766,842,842,842,981,981,1003,1003,1274,1274,1228,1228,1228,1174,1174,NA,NA,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128,1128
"13",2840,2840,2840,3674,3674,3674,4419,4419,4419,4396,4396,4396,3727,3727,3727,3436,3436,3436,2653,2653,2653,5344,5344,5344,3805,3805,3315,3315,4547,4547,8585,8585,8585,3562,3562,4741,4741,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771
"14",1771,1771,1771,1861,1861,1861,1726,1726,1726,1661,1661,1661,1738,1738,1738,1630,1630,1630,1613,1613,1613,1526,1526,1526,1417,1417,1457,1457,796,796,2531,2531,2531,1436,1436,1464,1464,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448
"15",1669,1669,1669,1762,1762,1762,1658,1658,1658,2238,2238,2238,1839,1839,1839,1881,1881,1881,1870,1870,1870,1929,1929,1929,2062,2062,2134,2134,1177,1177,2246,2246,2246,1546,1546,1807,1807,1574,1574,1574,1574,1574,1574,1574,1574,1574,1574,1574
"16",1302,1302,1302,1108,1108,1108,901,901,901,985,985,985,1347,1347,1347,917,917,917,714,714,714,966,966,966,912,912,1139,1139,312,312,3139,3139,3139,1227,1227,1806,1806,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137
"17",1989,1989,1989,1993,1993,1993,2104,2104,2104,2054,2054,2054,2126,2126,2126,2095,2095,2095,1908,1908,1908,2034,2034,2034,2121,2121,2091,2091,1927,1927,3115,3115,3115,2074,2074,2444,2444,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636,1636
"18",1125,1125,1125,1682,1682,1682,1200,1200,1200,1228,1228,1228,1429,1429,1429,1104,1104,1104,873,873,873,817,817,817,1401,1401,979,979,526,526,3234,3234,3234,1265,1265,NA,NA,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637
"19",2843,2843,2843,2917,2917,2917,3712,3712,3712,2977,2977,2977,3056,3056,3056,3027,3027,3027,2095,2095,2095,2062,2062,2062,2835,2835,2709,2709,2797,2797,3987,3987,3987,3143,3143,4435,4435,2853,2853,2853,2853,2853,2853,2853,2853,2853,2853,2853
"20",2295,2295,2295,1977,1977,1977,2242,2242,2242,2205,2205,2205,1857,1857,1857,2031,2031,2031,2484,2484,2484,2160,2160,2160,2536,2536,2275,2275,244,244,2587,2587,2587,1986,1986,2081,2081,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408
"21",801,801,801,584,584,584,925,925,925,NA,NA,NA,952,952,952,686,686,686,903,903,903,891,891,891,941,941,919,919,1719,1719,299,299,299,832,832,NA,NA,833,833,833,833,833,833,833,833,833,833,833
"22",896,896,896,1132,1132,1132,1723,1723,1723,1078,1078,1078,861,861,861,1051,1051,1051,596,596,596,3067,3067,3067,1791,1791,1468,1468,1648,1648,1090,1090,1090,1117,1117,1630,1630,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270
"23",1683,1683,1683,1352,1352,1352,2090,2090,2090,2960,2960,2960,1795,1795,1795,2793,2793,2793,2104,2104,2104,1402,1402,1402,1793,1793,2054,2054,1677,1677,4683,4683,4683,1736,1736,2564,2564,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577
"24",1893,1893,1893,1823,1823,1823,2010,2010,2010,2034,2034,2034,1961,1961,1961,2163,2163,2163,1963,1963,1963,NA,NA,NA,1941,1941,1844,1844,457,457,5867,5867,5867,2045,2045,2890,2890,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
"25",1298,1298,1298,1564,1564,1564,1979,1979,1979,1826,1826,1826,1746,1746,1746,1778,1778,1778,2772,2772,2772,691,691,691,2767,2767,2077,2077,265,265,1043,1043,1043,2349,2349,1665,1665,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
"26",1693,1693,1693,1655,1655,1655,1771,1771,1771,2155,2155,2155,1473,1473,1473,1508,1508,1508,1754,1754,1754,1656,1656,1656,2139,2139,1835,1835,1546,1546,4001,4001,4001,1492,1492,3058,3058,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195
"27",2124,2124,2124,2100,2100,2100,2230,2230,2230,2210,2210,2210,2171,2171,2171,2159,2159,2159,2333,2333,2333,1999,1999,1999,1918,1918,1967,1967,1015,1015,3950,3950,3950,2159,2159,1990,1990,1723,1723,1723,1723,1723,1723,1723,1723,1723,1723,1723
"28",2490,2490,2490,3125,3125,3125,2635,2635,2635,2836,2836,2836,2360,2360,2360,NA,NA,NA,1579,1579,1579,2780,2780,2780,2739,2739,3724,3724,445,445,3656,3656,3656,2315,2315,3441,3441,5378,5378,5378,5378,5378,5378,5378,5378,5378,5378,5378
"29",1269,1269,1269,1751,1751,1751,1865,1865,1865,1708,1708,1708,2250,2250,2250,2049,2049,2049,1872,1872,1872,1860,1860,1860,1911,1911,1888,1888,1962,1962,4030,4030,4030,1856,1856,1766,1766,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705
"30",2036,2036,2036,1198,1198,1198,1980,1980,1980,2447,2447,2447,1877,1877,1877,1937,1937,1937,825,825,825,2741,2741,2741,2812,2812,952,952,1017,1017,4270,4270,4270,NA,NA,949,949,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825
"31",2249,2249,2249,2314,2314,2314,4399,4399,4399,3073,3073,3073,2765,2765,2765,2154,2154,2154,2363,2363,2363,2150,2150,2150,2376,2376,1972,1972,970,970,5528,5528,5528,2151,2151,2186,2186,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339,2339
"32",989,989,989,524,524,524,1874,1874,1874,311,311,311,838,838,838,1162,1162,1162,980,980,980,1447,1447,1447,1221,1221,1110,1110,352,352,3003,3003,3003,934,934,1382,1382,648,648,648,648,648,648,648,648,648,648,648
"33",1393,1393,1393,1128,1128,1128,2114,2114,2114,1630,1630,1630,1610,1610,1610,1420,1420,1420,1113,1113,1113,NA,NA,NA,1995,1995,1887,1887,941,941,4516,4516,4516,1440,1440,1497,1497,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369,1369
"34",1508,1508,1508,1421,1421,1421,1668,1668,1668,1509,1509,1509,490,490,490,1585,1585,1585,1310,1310,1310,960,960,960,1005,1005,1933,1933,4925,4925,2299,2299,2299,1676,1676,2542,2542,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090
"35",NA,NA,NA,2387,2387,2387,2151,2151,2151,2895,2895,2895,NA,NA,NA,NA,NA,NA,2731,2731,2731,2982,2982,2982,2403,2403,2509,2509,983,983,4303,4303,4303,2313,2313,3938,3938,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311,2311
"36",1680,1680,1680,1678,1678,1678,3209,3209,3209,1897,1897,1897,3636,3636,3636,3329,3329,3329,2189,2189,2189,2518,2518,2518,513,513,1950,1950,1554,1554,3726,3726,3726,1969,1969,2768,2768,697,697,697,697,697,697,697,697,697,697,697
"37",2229,2229,2229,2219,2219,2219,2087,2087,2087,NA,NA,NA,2445,2445,2445,2036,2036,2036,2524,2524,2524,2522,2522,2522,2473,2473,2598,2598,1497,1497,3644,3644,3644,2322,2322,2371,2371,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467
"38",1671,1671,1671,1669,1669,1669,1608,1608,1608,1205,1205,1205,1377,1377,1377,1380,1380,1380,1161,1161,1161,1582,1582,1582,1512,1512,1436,1436,3818,3818,3214,3214,3214,4126,4126,4819,4819,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452
"39",1534,1534,1534,1685,1685,1685,962,962,962,NA,NA,NA,1177,1177,1177,1428,1428,1428,1216,1216,1216,1375,1375,1375,996,996,829,829,596,596,2521,2521,2521,2925,2925,951,951,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133
"40",2187,2187,2187,2307,2307,2307,1499,1499,1499,968,968,968,1522,1522,1522,1653,1653,1653,1608,1608,1608,1093,1093,1093,1687,1687,1986,1986,584,584,5055,5055,5055,1546,1546,2264,2264,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447
"41",1737,1737,1737,1735,1735,1735,1937,1937,1937,1959,1959,1959,1838,1838,1838,1863,1863,1863,1637,1637,1637,1703,1703,1703,1548,1548,1639,1639,256,256,3601,3601,3601,1621,1621,2117,2117,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365
"42",1399,1399,1399,1459,1459,1459,2521,2521,2521,3231,3231,3231,1531,1531,1531,1340,1340,1340,1489,1489,1489,1495,1495,1495,1418,1418,1289,1289,1360,1360,3137,3137,3137,1581,1581,1192,1192,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320
"43",3172,3172,3172,1214,1214,1214,1352,1352,1352,1456,1456,1456,2313,2313,2313,2915,2915,2915,1327,1327,1327,1807,1807,1807,896,896,2534,2534,1700,1700,2329,2329,2329,1651,1651,NA,NA,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940
"44",2811,2811,2811,2778,2778,2778,1870,1870,1870,1937,1937,1937,2506,2506,2506,1642,1642,1642,1641,1641,1641,1681,1681,1681,2002,2002,1059,1059,452,452,4607,4607,4607,1639,1639,2231,2231,1522,1522,1522,1522,1522,1522,1522,1522,1522,1522,1522
"45",2284,2284,2284,2255,2255,2255,2114,2114,2114,2270,2270,2270,3405,3405,3405,2246,2246,2246,2442,2442,2442,2167,2167,2167,2778,2778,2203,2203,396,396,4940,4940,4940,2191,2191,2413,2413,2779,2779,2779,2779,2779,2779,2779,2779,2779,2779,2779
"46",1510,1510,1510,1474,1474,1474,1324,1324,1324,1235,1235,1235,1497,1497,1497,1682,1682,1682,1369,1369,1369,1567,1567,1567,1906,1906,1902,1902,1645,1645,3384,3384,3384,1406,1406,1056,1056,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782
"47",2699,2699,2699,2046,2046,2046,3671,3671,3671,3673,3673,3673,3373,3373,3373,3317,3317,3317,2730,2730,2730,2833,2833,2833,3480,3480,3202,3202,321,321,6112,6112,6112,3357,3357,6227,6227,2625,2625,2625,2625,2625,2625,2625,2625,2625,2625,2625
"48",NA,NA,NA,494,494,494,710,710,710,780,780,780,NA,NA,NA,NA,NA,NA,519,519,519,NA,NA,NA,917,917,1729,1729,378,378,266,266,266,686,686,709,709,508,508,508,508,508,508,508,508,508,508,508
"49",1409,1409,1409,1351,1351,1351,1055,1055,1055,1374,1374,1374,1555,1555,1555,3044,3044,3044,1407,1407,1407,1347,1347,1347,1240,1240,1438,1438,1511,1511,1690,1690,1690,NA,NA,1021,1021,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267
"51",2578,2578,2578,3462,3462,3462,1953,1953,1953,1501,1501,1501,1719,1719,1719,1771,1771,1771,1999,1999,1999,1504,1504,1504,2058,2058,1888,1888,270,270,3633,3633,3633,1359,1359,926,926,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706,2706
"52",1823,1823,1823,3145,3145,3145,2541,2541,2541,2594,2594,2594,1557,1557,1557,2063,2063,2063,2023,2023,2023,3339,3339,3339,2131,2131,1531,1531,1327,1327,2276,2276,2276,2021,2021,2092,2092,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220,2220
"53",1459,1459,1459,1236,1236,1236,2504,2504,2504,2635,2635,2635,2557,2557,2557,2588,2588,2588,1730,1730,1730,1957,1957,1957,681,681,2722,2722,313,313,3486,3486,3486,1315,1315,265,265,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
"54",1011,1011,1011,1100,1100,1100,1340,1340,1340,1329,1329,1329,871,871,871,848,848,848,1086,1086,1086,1064,1064,1064,1066,1066,780,780,576,576,771,771,771,850,850,NA,NA,483,483,483,483,483,483,483,483,483,483,483
"55",1478,1478,1478,1486,1486,1486,2402,2402,2402,1653,1653,1653,1626,1626,1626,1638,1638,1638,1151,1151,1151,2418,2418,2418,1300,1300,1820,1820,251,251,3361,3361,3361,1663,1663,1175,1175,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468
"56",901,901,901,915,915,915,1002,1002,1002,2401,2401,2401,1462,1462,1462,984,984,984,1027,1027,1027,885,885,885,946,946,1124,1124,262,262,1215,1215,1215,795,795,867,867,894,894,894,894,894,894,894,894,894,894,894
"57",1737,1737,1737,1521,1521,1521,2168,2168,2168,2104,2104,2104,1914,1914,1914,1903,1903,1903,2694,2694,2694,2355,2355,2355,2809,2809,2566,2566,1713,1713,4389,4389,4389,1827,1827,2171,2171,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"58",1324,1324,1324,1265,1265,1265,1381,1381,1381,1704,1704,1704,1388,1388,1388,1261,1261,1261,1340,1340,1340,1472,1472,1472,1499,1499,1410,1410,258,258,3371,3371,3371,1188,1188,1168,1168,1431,1431,1431,1431,1431,1431,1431,1431,1431,1431,1431
"59",1272,1272,1272,1329,1329,1329,900,900,900,936,936,936,NA,NA,NA,1028,1028,1028,2269,2269,2269,3306,3306,3306,1841,1841,1778,1778,330,330,2443,2443,2443,1314,1314,1664,1664,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481
"60",2248,2248,2248,2746,2746,2746,3313,3313,3313,2908,2908,2908,2844,2844,2844,2608,2608,2608,2276,2276,2276,2861,2861,2861,2758,2758,2143,2143,934,934,6950,6950,6950,2607,2607,2492,2492,2631,2631,2631,2631,2631,2631,2631,2631,2631,2631,2631
"61",2336,2336,2336,2366,2366,2366,2218,2218,2218,3697,3697,3697,2199,2199,2199,2270,2270,2270,2324,2324,2324,2395,2395,2395,2378,2378,2159,2159,416,416,5140,5140,5140,3821,3821,1966,1966,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442
"62",2174,2174,2174,2151,2151,2151,2293,2293,2293,2102,2102,2102,2172,2172,2172,2169,2169,2169,1912,1912,1912,1567,1567,1567,2611,2611,2177,2177,2389,2389,4352,4352,4352,2217,2217,2104,2104,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274
"63",872,872,872,727,727,727,1138,1138,1138,2141,2141,2141,990,990,990,944,944,944,269,269,269,562,562,562,NA,NA,1405,1405,208,208,781,781,781,432,432,1357,1357,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810
"64",1960,1960,1960,2258,2258,2258,2573,2573,2573,2541,2541,2541,2584,2584,2584,2561,2561,2561,2445,2445,2445,2433,2433,2433,3002,3002,2603,2603,764,764,6066,6066,6066,2397,2397,3039,3039,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"65",952,952,952,896,896,896,997,997,997,938,938,938,773,773,773,1577,1577,1577,686,686,686,760,760,760,1005,1005,1268,1268,353,353,1573,1573,1573,1514,1514,266,266,687,687,687,687,687,687,687,687,687,687,687
"66",1096,1096,1096,440,440,440,1309,1309,1309,910,910,910,887,887,887,887,887,887,509,509,509,509,509,509,806,806,974,974,209,209,2739,2739,2739,933,933,1306,1306,988,988,988,988,988,988,988,988,988,988,988
"67",1883,1883,1883,1057,1057,1057,1459,1459,1459,1186,1186,1186,1136,1136,1136,1143,1143,1143,1323,1323,1323,1275,1275,1275,1469,1469,1522,1522,2291,2291,1555,1555,1555,1242,1242,842,842,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147,1147
"68",3990,3990,3990,3035,3035,3035,3991,3991,3991,3228,3228,3228,3712,3712,3712,3681,3681,3681,3582,3582,3582,3568,3568,3568,3248,3248,3362,3362,843,843,7682,7682,7682,3616,3616,3718,3718,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851,3851
